Acc,Fault Type,RUL
35.659,1,0
20.874,1,0
5.4865,1,0
-33.481,1,0
-39.904,1,0
-21.815,1,0
19.418,1,0
33.11,1,0
35.638,1,0
-4.3136,1,0
-19.248,1,0
-35.204,1,0
-5.7905,1,0
15.127,1,0
37.227,1,0
22.193,1,0
6.8732,1,0
-14.013,1,0
-28.452,1,0
-25.752,1,0
-6.0524,1,0
15.868,1,0
20.48,1,0
22.711,1,0
9.9945,1,0
-23.263,1,0
-15.744,1,0
-5.1922,1,0
-4.4148,1,0
13.712,1,0
0.15294,1,0
10.824,1,0
-22.827,1,0
-18.248,1,0
-6.5295,1,0
2.7942,1,0
-8.6335,1,0
10.782,1,0
3.8444,1,0
-7.8335,1,0
-2.3984,1,0
-14.277,1,0
-12.067,1,0
-1.0599,1,0
5.6168,1,0
23.154,1,0
4.7553,1,0
9.0649,1,0
2.5877,1,0
-6.4962,1,0
-17.006,1,0
-4.6123,1,0
-0.37082,1,0
32.615,1,0
12.999,1,0
-7.3055,1,0
-3.3676,1,0
-20.972,1,0
-8.9087,1,0
11.22,1,0
11.686,1,0
23.849,1,0
-6.3653,1,0
-11.623,1,0
-39.368,1,0
-18.608,1,0
4.9382,1,0
2.2616,1,0
28.55,1,0
28.796,1,0
-3.2078,1,0
-29.855,1,0
-21.696,1,0
-12.202,1,0
-1.5372,1,0
20.575,1,0
41.377,1,0
13.541,1,0
-43.465,1,0
-33.323,1,0
-19.046,1,0
19.508,1,0
35.786,1,0
14.835,1,0
-1.3394,1,0
-35.596,1,0
-22.241,1,0
-5.1495,1,0
1.5131,1,0
16.389,1,0
18.136,1,0
-3.9824,1,0
-27.638,1,0
-19.12,1,0
-3.086,1,0
2.6107,1,0
21.722,1,0
18.013,1,0
16.636,1,0
-15.864,1,0
-13.629,1,0
-4.8756,1,0
5.6556,1,0
3.4094,1,0
19.92,1,0
-8.5036,1,0
-7.5431,1,0
-5.8782,1,0
-16.708,1,0
-5.1303,1,0
12.982,1,0
12.011,1,0
11.762,1,0
-3.5185,1,0
-0.54574,1,0
-7.9997,1,0
-14.577,1,0
6.1833,1,0
-15.16,1,0
7.0322,1,0
10.931,1,0
16.363,1,0
-0.63903,1,0
-10.573,1,0
-27.836,1,0
-6.0821,1,0
6.8211,1,0
16.152,1,0
5.1371,1,0
21.993,1,0
5.8101,1,0
-18.411,1,0
-25.045,1,0
-4.1642,1,0
2.617,1,0
27.228,1,0
15.181,1,0
-2.8948,1,0
-10.066,1,0
-7.4603,1,0
-8.0531,1,0
-15.318,1,0
28.608,1,0
22.891,1,0
